Date,Title,Event Type,Host Institution,Start Time (EST),End Time (EST),Event URL,Image URL,Event Description
06/02/2025,Bold & Beautiful After Dark,Multi-media Event,Smithsonian Institution,7:00 PM,10:00 PM,https://www.si.edu/events/black-history-month?trumbaEmbed=view%3Devent%26eventid%3D179597850,https://blackhistorymonth.gov/images/Bold-and-Beautiful.png,"Anacostia Community Museum announces its first After Dark installment of 2025. Join us on Thursday February 6 from 7pm -10pm, where history and culture meets creativity!
Dive into the inspiring exhibition, ""A Bold and Beautiful Vision: A Century of Black Art Education in Washington, DC, 1900–2000"", and honor the legacy of DC's Black artistry and education through the decades."
06/02/2025,"Imani Perry, author of ""Black in Blues""",Book Talk,National Archives,7:00 PM,9:00 PM,https://www.archives.gov/calendar/event/imani-perry-author-of-black-in-blues,https://blackhistorymonth.gov/images/NARA_logo.png,"National Book Award winner Imani Perry discusses her new book, Black in Blues."
08/02/2025,"Vigilance: The Life of William Still, Father of the Underground Railroad with Andrew K. Diemer",Book Talk,Smithsonian Institution,12:00 PM,1:30 PM,https://www.si.edu/events/black-history-month?trumbaEmbed=view%3Devent%26eventid%3D179411378,https://blackhistorymonth.gov/images/Vigilance.png,"	
Join Professor Andrew K. Diemer for a lecture based on his book, “Vigilance: The Life of William Still, Father of the Underground Railroad.” Diemer’s compelling narrative offers an in-depth look at the life of William Still, a New Jersey-born abolitionist who worked with the Philadelphia Anti-Slavery Society."
08/02/2025,Dining with Baldwin: A Culinary Homage with Jessica Harris,Culinary Event,Smithsonian Institution,6:45 PM,8:30 PM,https://www.si.edu/events/black-history-month?trumbaEmbed=view%3Devent%26eventid%3D179405977,https://blackhistorymonth.gov/images/Dining-with-Baldwin.png,"For the centennial celebration of James Baldwin's birthday at NMAAHC, the Museum program will delve into Baldwin's life and legacy through the lens of his dining experiences, featuring culinary historian and a member of Baldwin's circle of friends, Dr. Jessica Harris. Brittany Levingston of the Center for the Study of African American Religious Life will moderate the discussion with Dr. Harris. The conversation and meal will offer insights into Baldwin's culinary preferences and the cultural significance of the shared meals he enjoyed."
12/02/2025,Lessons of the Hour Gallery Talk,Gallery Talk,Smithsonian Institution,5:30 PM,N/A,https://www.si.edu/events/black-history-month?trumbaEmbed=view%3Devent%26eventid%3D178666900,https://blackhistorymonth.gov/images/Lessons.png,"Join curators Saisha Grayson and Charlotte Ickes for a gallery talk about Isaac Julien’s tour de force Lessons of the Hour, jointly acquired for the collections of the Smithsonian American Art Museum and the Smithsonian’s National Portrait Gallery. The film installation interweaves period reenactments across five screens to create a vivid picture of nineteenth-century activist, writer, orator, and philosopher Frederick Douglass. "
13/02/2025,Countdown at Kusini (1976),Film Screening,Library of Congress,7:00 PM,9:00 PM,https://www.loc.gov/item/event-415518/countdown-at-kusini-1976/2025-02-13/,https://blackhistorymonth.gov/images/Kusini.png,"Seating is on a first-come first-serve basis.  Doors open at 6:30 pm. A Black jazz musician visiting an independent African country becomes involved in the struggle against a puppet government controlled by multinational corporations. Filmed in Nigeria in 1974 but not released until 1976, this rarely seen film was largely financed by the storied African American sorority Delta Sigma Theta, established in 1913 at Howard University."
15/02/2025,Great Migrations: A People on The Move,Film Screening,Smithsonian Institution,1:00 PM,3:00 PM,https://www.si.edu/events/black-history-month?trumbaEmbed=view%3Devent%26eventid%3D179599611,https://blackhistorymonth.gov/images/Great-migrations.png,"Join us for the screening of Great Migrations: A People on the Move, which explores the transformative impact of Black migration on American culture and society. From the waves of Black Americans to the North—and back South—over the last century to the growing number of immigrants from Africa and the Caribbean today, the film shows how movement is a defining feature of the Black experience.  A discussion will immediately follow the film. This film is shown in collaboration with WETA and the Anacostia Coordinating Council (ACC). Light refreshments will be available."
20/02/2025,Live! At the Library: Douglas Kearney with Ron Charles,Book Talk,Library of Congress,7:00 PM,8:00 PM,https://www.loc.gov/item/event-415671/live-at-the-library-douglas-kearney-with-ron-charles/2025-02-20/,https://blackhistorymonth.gov/images/DK_Fixed-Color-202468.png,"Douglas Kearney will talk with Washington Post Book Critic Ron Charles about his groundbreaking new collection of visual poems, ""I Imagine I Been Science Fiction Always."""
27/02/2025,"Live! At The Library: R&B and Soul Line Dancing with ""Queen Nur""",Musical Event,Library of Congress,6:00 PM,8:00 PM,https://www.loc.gov/item/event-415682/live-at-the-library-randb-and-soul-line-dancing-with-queen-nur/2025-02-27/,https://blackhistorymonth.gov/images/Live-At-The-Library-2025.png,"Part of Live! At The Library, this event, led by Karen Abdul-Malik (“Queen Nur”), will feature R&B and Soul Line dancing for folks of any level to participate in over the course of the evening. Set to the music of two  popular DJs from the Philadelphia region, workshops for beginners to learn basic steps – such as the cha, cha, salsa, and derivatives of swing like Chicago stepping and the Philly Bop – will also be offered at the starting and halfway points."
